,Date,"precip_and_snowmelt_input_Pilot-Thousand Springs, Nevada, Utah_mean","irrigation_Pilot-Thousand Springs, Nevada, Utah_mean","AET_Pilot-Thousand Springs, Nevada, Utah_mean","soil_thickness_Pilot-Thousand Springs, Nevada, Utah_mean","soil_porosity_Pilot-Thousand Springs, Nevada, Utah_mean","field_capacity_Pilot-Thousand Springs, Nevada, Utah_mean","wilting_point_Pilot-Thousand Springs, Nevada, Utah_mean","Geo_K_Pilot-Thousand Springs, Nevada, Utah_mean","Runoff_Pilot-Thousand Springs, Nevada, Utah_mean","Recharge_Pilot-Thousand Springs, Nevada, Utah_mean","Soil_Water_End_Of_Previous_Timestep_Pilot-Thousand Springs, Nevada, Utah_mean","Soil_Saturation_Percent_End_Of_Timestep_Pilot-Thousand Springs, Nevada, Utah_mean","precip_and_snowmelt_input_m3_Pilot-Thousand Springs, Nevada, Utah_sum","irrigation_m3_Pilot-Thousand Springs, Nevada, Utah_sum","AET_m3_Pilot-Thousand Springs, Nevada, Utah_sum","Runoff_m3_Pilot-Thousand Springs, Nevada, Utah_sum","Recharge_m3_Pilot-Thousand Springs, Nevada, Utah_sum","Soil_Water_End_Of_Previous_Timestep_m3_Pilot-Thousand Springs, Nevada, Utah_sum","Pilot-Thousand Springs, Nevada, Utah_area_m2"
140,2024-08-01,6.102468311780685,0,12.264095867260712,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,0.08401546167473933,0.9508126420480499,148.29941834346604,54.30911914705346,3348440.4287277805,0,6729279.835137256,46102.42471360024,521734.6328857614,81370641.36693268,443313336.6475908
141,2024-08-01,6.102468311780685,0,12.264095867260712,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,0.08401546167473933,0.9508126420480499,148.29941834346604,54.30911914705346,3348440.4287277805,0,6729279.835137256,46102.42471360024,521734.6328857614,81370641.36693268,443313336.6475908
142,2024-08-01,6.102468311780685,0,12.264095867260712,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,0.08401546167473933,0.9508126420480499,148.29941834346604,54.30911914705346,3348440.4287277805,0,6729279.835137256,46102.42471360024,521734.6328857614,81370641.36693268,443313336.6475908
143,2024-08-01,6.102468311780685,0,12.264095867260712,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,0.08401546167473933,0.9508126420480499,148.29941834346604,54.30911914705346,3348440.4287277805,0,6729279.835137256,46102.42471360024,521734.6328857614,81370641.36693268,443313336.6475908
144,2024-08-01,6.102468311780685,0,12.264095867260712,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,0.08401546167473933,0.9508126420480499,148.29941834346604,54.30911914705346,3348440.4287277805,0,6729279.835137256,46102.42471360024,521734.6328857614,81370641.36693268,443313336.6475908
145,2024-08-01,6.102468311780685,0,12.264095867260712,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,0.08401546167473933,0.9508126420480499,148.29941834346604,54.30911914705346,3348440.4287277805,0,6729279.835137256,46102.42471360024,521734.6328857614,81370641.36693268,443313336.6475908
146,2024-08-01,6.102468311780685,0,12.264095867260712,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,0.08401546167473933,0.9508126420480499,148.29941834346604,54.30911914705346,3348440.4287277805,0,6729279.835137256,46102.42471360024,521734.6328857614,81370641.36693268,443313336.6475908
147,2024-08-01,6.102468311780685,0,12.264095867260712,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,0.08401546167473933,0.9508126420480499,148.29941834346604,54.30911914705346,3348440.4287277805,0,6729279.835137256,46102.42471360024,521734.6328857614,81370641.36693268,443313336.6475908
148,2024-08-01,6.102468311780685,0,12.264095867260712,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,0.08401546167473933,0.9508126420480499,148.29941834346604,54.30911914705346,3348440.4287277805,0,6729279.835137256,46102.42471360024,521734.6328857614,81370641.36693268,443313336.6475908
149,2024-08-01,6.102468311780685,0,12.264095867260712,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,0.08401546167473933,0.9508126420480499,148.29941834346604,54.30911914705346,3348440.4287277805,0,6729279.835137256,46102.42471360024,521734.6328857614,81370641.36693268,443313336.6475908
